D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
44901|2012|Honda|Civic|car|Gray|103221|6995.00
55023|2018|Toyota|Camry|car|White|47800|14500.00
62987|2015|Chevrolet|Silverado|truck|Black|88321|18750.00
71145|2010|Dodge|Caravan|van|Blue|134500|5200.00
83421|2020|Jeep|Wrangler|SUV|Green|22100|29995.00
91230|2008|Honda|Accord|car|Silver|201456|4500.00
14832|2022|Toyota|Tacoma|truck|White|11200|34995.00
25674|2019|Ford|Mustang|car|Red|38900|27500.00
33198|2016|Nissan|Altima|car|Black|74320|9800.00
47256|2011|Chrysler|Town and Country|van|Silver|156700|4200.00
58943|2023|Honda|CR-V|SUV|Blue|8500|31500.00
66712|2014|GMC|Sierra|truck|Gray|112450|13200.00
79034|2021|Subaru|Outback|SUV|Green|29300|26800.00
82561|2009|Toyota|Corolla|car|Beige|187600|3500.00
93847|2017|Ford|Transit|van|White|98200|16400.00
11293|2020|Kia|Telluride|SUV|Black|41100|32000.00
48571|2013|Chevrolet|Malibu|car|Red|134800|7400.00
